date,mall_name,region,visitors,sales_clothing,sales_restaurants,sales_cosmetics,sales_electronics
22/01/2007,Mall B,North,1011,66523,35901,42580,36337
22/01/2007,Mall C,South,636,119958,50796,35330,25501
23/01/2007,Mall A,Center,1227,105756,45353,21996,32607
23/01/2007,Mall B,North,701,108091,12015,39689,64185
23/01/2007,Mall C,South,1886,101250,18894,48205,45704
25/01/2007,Mall A,Center,1062,125050,53437,49588,64710
25/01/2007,Mall B,North,1036,129676,78672,11662,47002
25/01/2007,Mall C,South,1339,40819,52795,47067,25507
26/01/2007,Mall A,Center,1846,78589,30804,28353,17314
26/01/2007,Mall B,North,670,146639,19258,23603,37516
26/01/2007,Mall C,South,1132,130049,11486,14253,14537
28/01/2007,Mall A,Center,1978,112826,61745,11584,65471
28/01/2007,Mall B,North,1642,53567,60747,32311,53202
28/01/2007,Mall C,South,1716,141760,61650,27032,31957
29/01/2007,Mall A,Center,867,96196,24436,6219,19038
29/01/2007,Mall B,North,937,98284,52976,39771,18046
29/01/2007,Mall C,South,1994,88921,43657,35033,41370
30/01/2007,Mall A,Center,1482,121525,27571,27402,35632
30/01/2007,Mall B,North,1767,93515,23730,31198,59168
30/01/2007,Mall C,South,1264,136458,47347,11211,45267
31/01/2007,Mall A,Center,1028,145429,47641,29481,48359
31/01/2007,Mall B,North,969,47264,15186,30537,35579
31/01/2007,Mall C,South,855,149132,16794,15379,57970
01/02/2007,Mall A,Center,1797,117645,44196,46405,23630
01/02/2007,Mall B,North,1453,40340,64326,23007,50007
01/02/2007,Mall C,South,558,42782,59436,32849,45195
02/02/2007,Mall A,Center,638,96419,35772,10165,14179
02/02/2007,Mall B,North,1590,129797,32786,10015,33085
02/02/2007,Mall C,South,1009,138956,43446,45178,60843
03/02/2007,Mall A,Center,861,51053,59024,45317,56689
03/02/2007,Mall B,North,1258,32689,57150,20118,40983
03/02/2007,Mall C,South,881,33355,25696,39950,55004
04/02/2007,Mall A,Center,1026,29915,53289,46701,57742
04/02/2007,Mall B,North,1273,141469,52782,42353,57883
04/02/2007,Mall C,South,614,86406,67762,15240,48860
05/02/2007,Mall A,Center,1988,82062,15926,48618,56527
05/02/2007,Mall B,North,942,128955,38163,14310,10663
05/02/2007,Mall C,South,966,23486,77439,10997,63451
06/02/2007,Mall A,Center,1672,71768,54314,39836,49074
06/02/2007,Mall B,North,1151,106174,13424,19753,41559
06/02/2007,Mall C,South,1446,97095,71398,30504,64866
07/02/2007,Mall A,Center,1702,78138,27775,7249,60346
07/02/2007,Mall B,North,919,67854,59344,17972,45316
07/02/2007,Mall C,South,644,23217,19238,15444,29579
08/02/2007,Mall A,Center,1280,62334,75967,20954,46972
08/02/2007,Mall B,North,1813,44427,79805,37738,58711
08/02/2007,Mall C,South,632,139828,38543,36730,48585
09/02/2007,Mall A,Center,1181,51105,23104,39426,11848
09/02/2007,Mall B,North,1294,129401,76354,45170,32045
09/02/2007,Mall C,South,1867,147965,43338,17372,18346
10/02/2007,Mall A,Center,1811,84354,50058,29863,14023
10/02/2007,Mall B,North,1091,36763,46878,25587,38720
10/02/2007,Mall C,South,1018,118987,39058,43791,31717
11/02/2007,Mall A,Center,867,34999,36704,29172,30562
11/02/2007,Mall B,North,1706,22833,78632,6928,30234
11/02/2007,Mall C,South,1563,124425,62112,45940,31230
12/02/2007,Mall A,Center,1141,122494,59913,49026,19560
12/02/2007,Mall B,North,1780,119810,69864,48804,61227
12/02/2007,Mall C,South,1551,79111,78074,7019,36677
13/02/2007,Mall A,Center,712,104649,65756,25116,13796
13/02/2007,Mall B,North,1622,23511,73330,41432,68193
13/02/2007,Mall C,South,642,66752,51365,43757,19170
14/02/2007,Mall A,Center,1591,138736,32837,16046,59149
14/02/2007,Mall B,North,929,129539,68842,18857,59620
14/02/2007,Mall C,South,1236,96304,22415,49324,45585
15/02/2007,Mall A,Center,1928,50506,55471,22056,58532
15/02/2007,Mall B,North,1961,96178,23624,36156,57481
15/02/2007,Mall C,South,1344,38305,58002,35868,59989
16/02/2007,Mall A,Center,1619,28726,49641,31899,44827
16/02/2007,Mall B,North,1492,108099,38838,10428,39499
16/02/2007,Mall C,South,1863,129815,22899,29989,15679
18/02/2007,Mall A,Center,1470,60950,78975,21759,37133
18/02/2007,Mall B,North,1955,62700,15307,7667,18536
18/02/2007,Mall C,South,1111,82869,50226,27332,23744
19/02/2007,Mall A,Center,1882,83317,72464,49975,54446
19/02/2007,Mall B,North,1432,78729,47570,25091,11829
19/02/2007,Mall C,South,1051,35514,63584,10709,67086
20/02/2007,Mall A,Center,1685,41682,76835,23395,10509
20/02/2007,Mall B,North,1069,81736,77070,37549,66725
20/02/2007,Mall C,South,1208,52930,34956,34764,57722
21/02/2007,Mall A,Center,1032,140687,47956,8685,32140
21/02/2007,Mall B,North,1041,117089,20936,9315,56117
21/02/2007,Mall C,South,993,116369,74435,23128,11664
22/02/2007,Mall A,Center,1753,80666,47676,6898,37692
22/02/2007,Mall B,North,1094,85764,12786,44378,40155
22/02/2007,Mall C,South,1394,84669,27706,12074,58554
23/02/2007,Mall A,Center,1113,113144,28433,22971,12352
23/02/2007,Mall B,North,1417,90900,63459,25360,46697
23/02/2007,Mall C,South,710,25966,54082,26142,41587
24/02/2007,Mall A,Center,1003,128048,15527,37290,25449
24/02/2007,Mall B,North,501,38637,27591,16425,47003
24/02/2007,Mall C,South,1680,22020,74319,36403,48448
25/02/2007,Mall A,Center,1330,112147,14181,10352,59230
25/02/2007,Mall B,North,1283,33355,53162,29384,23887
25/02/2007,Mall C,South,1183,149258,34478,33016,34228
26/02/2007,Mall A,Center,582,143502,46325,18520,26057
26/02/2007,Mall B,North,747,32721,34205,29081,67242
26/02/2007,Mall C,South,525,22298,75296,27892,48499
28/02/2007,Mall A,Center,1404,30768,42545,10959,46786
28/02/2007,Mall B,North,1303,132802,20793,29204,32652
28/02/2007,Mall C,South,1141,67435,70807,22509,69564
01/03/2007,Mall A,Center,1087,91435,45562,32976,34969
01/03/2007,Mall B,North,770,58584,45017,36705,10266
01/03/2007,Mall C,South,1029,67607,15356,33681,62876
02/03/2007,Mall A,Center,1431,22424,68102,14784,44595
02/03/2007,Mall B,North,994,23296,24706,43153,53940
02/03/2007,Mall C,South,1107,66249,11769,18319,60459
03/03/2007,Mall A,Center,936,109408,64447,49605,53932
03/03/2007,Mall B,North,1176,57479,66338,30327,42863
03/03/2007,Mall C,South,1657,29926,56935,41240,40746
05/03/2007,Mall A,Center,1104,20033,45521,39626,43463
05/03/2007,Mall B,North,1873,47182,49786,35753,33422
05/03/2007,Mall C,South,1238,129474,40575,48238,45912
06/03/2007,Mall A,Center,1098,134068,75924,12602,60667
06/03/2007,Mall B,North,1759,75019,12490,10811,21711
06/03/2007,Mall C,South,521,136764,20477,50000,31797
07/03/2007,Mall A,Center,863,74892,66105,9615,61716
07/03/2007,Mall B,North,521,118484,37817,13485,37836
07/03/2007,Mall C,South,1220,108608,36476,47408,12391
08/03/2007,Mall A,Center,559,50835,23497,18749,33767
08/03/2007,Mall B,North,1828,135509,71668,34630,10439
08/03/2007,Mall C,South,1183,109003,64879,25859,13657
09/03/2007,Mall A,Center,1206,79070,50071,37524,55426
09/03/2007,Mall B,North,941,128702,11932,7903,34314
09/03/2007,Mall C,South,1517,110529,33233,42686,22304
10/03/2007,Mall A,Center,1094,104449,49920,13286,65736
10/03/2007,Mall B,North,1722,104920,68642,6706,68630
10/03/2007,Mall C,South,1767,99268,12978,32131,18002
11/03/2007,Mall A,Center,1884,133558,56438,27231,59051
11/03/2007,Mall B,North,531,35683,65829,16042,32283
11/03/2007,Mall C,South,1919,132079,26757,6256,18408
12/03/2007,Mall A,Center,1551,45039,64752,24666,12297
12/03/2007,Mall B,North,1352,49261,66088,12981,51565
12/03/2007,Mall C,South,1201,34403,14372,40787,36863
13/03/2007,Mall A,Center,623,110300,21800,35949,27184
13/03/2007,Mall B,North,1943,67879,55174,9509,33451
13/03/2007,Mall C,South,960,70138,63862,15367,32852
14/03/2007,Mall A,Center,1052,39607,45054,14271,43156
14/03/2007,Mall B,North,922,67639,61527,42915,12984
14/03/2007,Mall C,South,790,40945,30574,30557,65286
16/03/2007,Mall A,Center,1669,95870,11454,45016,50689
16/03/2007,Mall B,North,1448,79712,38297,37493,34908
16/03/2007,Mall C,South,1179,99364,68344,32253,33757
17/03/2007,Mall A,Center,1061,122086,48974,21207,44473
17/03/2007,Mall B,North,672,35584,75459,7935,62367
17/03/2007,Mall C,South,1427,72013,18848,31988,20909
19/03/2007,Mall A,Center,761,97610,40209,25897,21141
19/03/2007,Mall B,North,633,44440,59389,30576,23378
19/03/2007,Mall C,South,1901,134971,12892,7183,21724
20/03/2007,Mall A,Center,1101,81887,59464,9187,16114
20/03/2007,Mall B,North,1175,113731,27490,31607,53402
20/03/2007,Mall C,South,1625,125010,10572,13136,59292
21/03/2007,Mall A,Center,992,42196,63366,47422,58999
21/03/2007,Mall B,North,1696,61525,10531,46025,10508
21/03/2007,Mall C,South,1701,27214,53531,20362,54033
22/03/2007,Mall A,Center,1470,82308,21596,33899,31911
22/03/2007,Mall B,North,1221,39939,73516,41652,37553
22/03/2007,Mall C,South,1413,48114,59680,32757,14938
23/03/2007,Mall A,Center,535,134719,58301,25488,57603
23/03/2007,Mall B,North,1006,132033,44095,10465,44616
23/03/2007,Mall C,South,571,97226,78570,37499,26766
24/03/2007,Mall A,Center,674,89535,15026,25971,45498
24/03/2007,Mall B,North,1303,138015,76858,45052,59930
24/03/2007,Mall C,South,908,67004,65120,20011,17049
25/03/2007,Mall A,Center,1649,96248,24903,41505,53755
25/03/2007,Mall B,North,857,48405,39776,28581,16262
25/03/2007,Mall C,South,1547,118295,39067,11660,18575
26/03/2007,Mall A,Center,1564,121642,44414,45349,39746
26/03/2007,Mall B,North,1478,149774,28303,41172,31026
26/03/2007,Mall C,South,1892,98180,35924,22056,57847
27/03/2007,Mall A,Center,1945,125078,50140,24323,33814
27/03/2007,Mall B,North,1403,29441,18954,19053,28150
27/03/2007,Mall C,South,561,101650,55602,48957,20800
29/03/2007,Mall A,Center,1448,137081,11269,15985,58505
29/03/2007,Mall B,North,1210,114256,59038,22156,50322
29/03/2007,Mall C,South,1487,105304,45664,21156,42958
30/03/2007,Mall A,Center,1411,85381,54809,26002,41379
30/03/2007,Mall B,North,654,104041,52115,14837,21715
30/03/2007,Mall C,South,1620,44165,37641,22147,20021
31/03/2007,Mall A,Center,1496,120930,74524,30467,32472
31/03/2007,Mall B,North,1241,130709,45768,21551,25186
31/03/2007,Mall C,South,725,131893,71233,44666,16561
01/04/2007,Mall A,Center,907,140217,57216,8221,27384
01/04/2007,Mall B,North,1412,69885,25655,21802,60787
01/04/2007,Mall C,South,1604,134482,19970,10293,34914
02/04/2007,Mall A,Center,1277,38241,71304,41951,35178
02/04/2007,Mall B,North,1982,101058,19859,43663,17882
02/04/2007,Mall C,South,576,130001,35682,40490,24248
03/04/2007,Mall A,Center,725,27750,51889,35329,66024
03/04/2007,Mall B,North,750,50954,73072,40420,32466
03/04/2007,Mall C,South,949,72844,65874,14033,33118
04/04/2007,Mall A,Center,935,67905,36958,42891,20683
04/04/2007,Mall B,North,1464,71500,42627,47010,61524
04/04/2007,Mall C,South,825,124690,36631,44162,42278
05/04/2007,Mall A,Center,1542,43080,24762,42842,31377
05/04/2007,Mall B,North,1287,32326,65624,15053,15607
05/04/2007,Mall C,South,1526,86432,50075,46566,56490
06/04/2007,Mall A,Center,638,120417,29808,32642,15259
06/04/2007,Mall B,North,805,28343,60446,17255,15273
06/04/2007,Mall C,South,1852,83162,34819,32375,64247
07/04/2007,Mall A,Center,587,147196,57262,21247,14166
07/04/2007,Mall B,North,1705,113939,59277,28900,62690
07/04/2007,Mall C,South,1552,79128,28423,24535,47691
08/04/2007,Mall A,Center,1870,51857,43176,11636,54759
08/04/2007,Mall B,North,1059,76097,10688,6296,18998
08/04/2007,Mall C,South,1851,116900,66115,22954,42322
09/04/2007,Mall A,Center,508,126065,66226,17189,27216
09/04/2007,Mall B,North,1728,31932,58492,21575,31858
09/04/2007,Mall C,South,1338,140734,21427,15679,27199
10/04/2007,Mall A,Center,878,140445,57505,15693,53533
10/04/2007,Mall B,North,832,71915,65665,23384,69207
10/04/2007,Mall C,South,1628,86334,41986,14371,34972
11/04/2007,Mall A,Center,1143,20822,34280,31047,28482
11/04/2007,Mall B,North,1979,61643,55549,31082,50583
11/04/2007,Mall C,South,1341,44079,45116,21898,47528
12/04/2007,Mall A,Center,1002,124180,20207,26541,19666
12/04/2007,Mall B,North,1325,38142,44731,44573,58674
12/04/2007,Mall C,South,1802,134967,28766,37143,12946
13/04/2007,Mall A,Center,1881,77689,70604,13681,31411
13/04/2007,Mall B,North,1004,130757,55054,22444,58632
13/04/2007,Mall C,South,1481,93837,30484,21349,14833
14/04/2007,Mall A,Center,1828,24783,50222,7845,35860
14/04/2007,Mall B,North,1283,136816,45666,8514,69411
14/04/2007,Mall C,South,1811,39705,40936,46973,46612
15/04/2007,Mall A,Center,711,40077,23092,47430,26511
15/04/2007,Mall B,North,1552,89056,10474,32963,42977
15/04/2007,Mall C,South,736,149440,45960,28054,11689
16/04/2007,Mall A,Center,1167,103732,19662,17760,31254
16/04/2007,Mall B,North,949,57969,22207,14318,29893
16/04/2007,Mall C,South,511,51781,45573,16823,25448
17/04/2007,Mall A,Center,1480,55277,14585,36159,64413
17/04/2007,Mall B,North,1015,116715,35963,12692,41255
17/04/2007,Mall C,South,962,96138,12364,13082,35339
18/04/2007,Mall A,Center,651,61894,15477,23950,36316
18/04/2007,Mall B,North,1234,141353,40822,12975,43557
18/04/2007,Mall C,South,531,62080,40782,11278,65122
19/04/2007,Mall A,Center,1334,112389,78803,24752,69229
19/04/2007,Mall B,North,1541,64437,16229,34316,69992
19/04/2007,Mall C,South,1595,133081,20001,45113,25036
20/04/2007,Mall A,Center,507,62189,17633,23597,33140
20/04/2007,Mall B,North,751,66645,55344,38962,30555
20/04/2007,Mall C,South,1754,48550,19359,37802,30970
21/04/2007,Mall A,Center,1479,100226,57720,34080,69254
21/04/2007,Mall B,North,1579,48820,66600,26181,61821
21/04/2007,Mall C,South,1309,80559,39308,14720,50101
22/04/2007,Mall A,Center,692,120560,61938,27705,62345
22/04/2007,Mall B,North,1618,102831,72819,48933,58221
22/04/2007,Mall C,South,1049,43514,29793,6017,19040
23/04/2007,Mall A,Center,1413,88530,15841,38334,46743
23/04/2007,Mall B,North,1515,100906,46290,5004,51161
23/04/2007,Mall C,South,1175,119848,13607,31351,34786
24/04/2007,Mall A,Center,625,102330,16243,10268,32016
24/04/2007,Mall B,North,1520,34602,23588,34051,64014
24/04/2007,Mall C,South,1194,57519,74483,12102,52188
26/04/2007,Mall A,Center,1542,59760,54465,25112,54604
26/04/2007,Mall B,North,1520,39739,17528,44417,62681
26/04/2007,Mall C,South,886,147575,73397,27506,45676
27/04/2007,Mall A,Center,1063,142728,23079,11527,24439
27/04/2007,Mall B,North,1372,144055,38317,34317,21437
27/04/2007,Mall C,South,1303,94787,44528,15717,24603
28/04/2007,Mall A,Center,1823,103779,52911,33519,11935
28/04/2007,Mall B,North,1916,108085,42046,9474,36322
28/04/2007,Mall C,South,553,95499,16921,33967,40236
29/04/2007,Mall A,Center,1899,135742,58187,36978,21708
29/04/2007,Mall B,North,504,64187,50349,25408,56799
29/04/2007,Mall C,South,1199,49597,66036,18837,20582
30/04/2007,Mall A,Center,994,77203,75519,24161,41103
30/04/2007,Mall B,North,1219,112950,78342,21087,55278
30/04/2007,Mall C,South,1473,21615,58132,42376,41754
01/05/2007,Mall A,Center,754,20852,48236,23194,38740
01/05/2007,Mall B,North,1468,64672,39816,46542,28928
01/05/2007,Mall C,South,767,98895,25078,32755,41694
02/05/2007,Mall A,Center,1750,69384,69019,42476,69934
02/05/2007,Mall B,North,1459,145876,45819,8909,42416
02/05/2007,Mall C,South,910,99239,52113,12341,63542
03/05/2007,Mall A,Center,527,36588,44014,49051,12106
03/05/2007,Mall B,North,633,98520,33697,33260,64358
03/05/2007,Mall C,South,718,120522,48411,20297,44812
04/05/2007,Mall A,Center,896,80080,71570,26542,30445
04/05/2007,Mall B,North,667,35979,21973,47287,53368
04/05/2007,Mall C,South,680,73889,65044,12325,45912
07/05/2007,Mall A,Center,1976,146141,29045,15651,40237
07/05/2007,Mall B,North,1169,137285,53727,9360,25342
07/05/2007,Mall C,South,1387,95155,24672,29630,60379
08/05/2007,Mall A,Center,1681,108331,73641,46591,56800
08/05/2007,Mall B,North,1316,126560,30389,35163,65615
08/05/2007,Mall C,South,1285,145339,39864,13716,41640
09/05/2007,Mall A,Center,655,46422,52942,17673,40507
09/05/2007,Mall B,North,1370,42320,70869,13346,41547
09/05/2007,Mall C,South,781,41718,52512,14669,43001
10/05/2007,Mall A,Center,1700,138092,42939,44734,61169
10/05/2007,Mall B,North,668,25346,25985,9197,23319
10/05/2007,Mall C,South,1837,141757,26787,20673,68035
12/05/2007,Mall A,Center,626,127565,76563,43811,51741
12/05/2007,Mall B,North,1577,137841,56717,30201,69811
12/05/2007,Mall C,South,1770,100581,77901,46964,69448
13/05/2007,Mall A,Center,1601,97012,47999,16526,65805
13/05/2007,Mall B,North,562,50930,55197,13403,56611
13/05/2007,Mall C,South,510,135838,21431,47027,35248
14/05/2007,Mall A,Center,1131,22905,17616,17853,25703
14/05/2007,Mall B,North,894,63221,49601,43678,56123
14/05/2007,Mall C,South,750,59137,50955,46756,29605
15/05/2007,Mall A,Center,1984,71091,68271,31313,54212
15/05/2007,Mall B,North,1760,104549,53653,35772,25026
15/05/2007,Mall C,South,687,65088,68212,22434,64245
16/05/2007,Mall A,Center,1690,128742,22575,49108,26341
16/05/2007,Mall B,North,1833,49267,13051,27639,25024
16/05/2007,Mall C,South,1477,86532,69562,40821,10001
17/05/2007,Mall A,Center,1633,134704,18068,40855,41336
17/05/2007,Mall B,North,525,72369,20350,30831,53063
17/05/2007,Mall C,South,1629,32563,51702,35765,68295
18/05/2007,Mall A,Center,1248,118713,23941,9068,17554
18/05/2007,Mall B,North,1670,148137,73810,8491,39724
18/05/2007,Mall C,South,1400,77759,29580,42685,60981
19/05/2007,Mall A,Center,1357,138085,31351,35061,18613
19/05/2007,Mall B,North,568,21520,45631,33443,65427
19/05/2007,Mall C,South,1938,28046,72699,23618,29815
20/05/2007,Mall A,Center,571,115369,71086,29378,49436
20/05/2007,Mall B,North,1916,37163,22704,31376,52010
20/05/2007,Mall C,South,820,55366,12755,32346,33925
21/05/2007,Mall A,Center,1029,80651,16892,43106,27896
21/05/2007,Mall B,North,797,114665,64069,6951,58193
21/05/2007,Mall C,South,872,146384,44313,16747,21106
22/05/2007,Mall A,Center,1815,132121,40490,34186,58231
22/05/2007,Mall B,North,890,62843,29899,35364,32481
22/05/2007,Mall C,South,596,37397,58250,33708,32260
23/05/2007,Mall A,Center,1863,94258,35151,38156,33680
23/05/2007,Mall B,North,1969,28924,17581,26118,68434
23/05/2007,Mall C,South,648,133373,53922,13481,57734
24/05/2007,Mall A,Center,504,70624,51791,44013,10156
24/05/2007,Mall B,North,1128,37815,79093,42037,67011
24/05/2007,Mall C,South,1725,85546,73390,27597,51833
25/05/2007,Mall A,Center,1317,87572,57520,39258,31158
25/05/2007,Mall B,North,1244,134436,77803,46500,11956
25/05/2007,Mall C,South,747,21753,55212,47090,47022
27/05/2007,Mall A,Center,1919,62867,61592,8525,66409
27/05/2007,Mall B,North,861,130814,63448,39695,43211
27/05/2007,Mall C,South,1676,93334,60202,46400,66121
28/05/2007,Mall A,Center,1021,89938,37590,35599,13810
28/05/2007,Mall B,North,1960,84546,15618,26140,38382
28/05/2007,Mall C,South,582,103823,64632,46984,57058
29/05/2007,Mall A,Center,1694,33812,52610,20223,60220
29/05/2007,Mall B,North,1853,81884,60043,5467,50173
29/05/2007,Mall C,South,1268,124341,71885,15964,62630
30/05/2007,Mall A,Center,920,21035,29702,41968,55013
30/05/2007,Mall B,North,1400,101964,10541,37562,55159
30/05/2007,Mall C,South,1908,51968,18519,11253,27448
31/05/2007,Mall A,Center,1905,86301,34088,11849,22863
31/05/2007,Mall B,North,789,107254,31119,11679,30553
31/05/2007,Mall C,South,1986,95753,12659,19525,64326
01/06/2007,Mall A,Center,875,29560,70439,21073,15619
01/06/2007,Mall B,North,920,109926,27161,32643,60837
01/06/2007,Mall C,South,1441,145365,63641,36809,60667
02/06/2007,Mall A,Center,501,68889,44652,27874,21849
02/06/2007,Mall B,North,985,87224,28433,29810,17032
02/06/2007,Mall C,South,1586,31703,21838,25962,20086
03/06/2007,Mall A,Center,1415,120006,37345,5504,22614
03/06/2007,Mall B,North,1888,53702,19895,21148,41347
03/06/2007,Mall C,South,1907,81680,42724,35625,44970
04/06/2007,Mall A,Center,526,111847,48300,15887,17432
04/06/2007,Mall B,North,1019,68317,10433,22061,46035
04/06/2007,Mall C,South,1953,133532,56844,28507,63607
05/06/2007,Mall A,Center,1972,143761,67428,37863,36442
05/06/2007,Mall B,North,677,46987,24673,27605,57078
05/06/2007,Mall C,South,1802,132338,73842,19252,18994
06/06/2007,Mall A,Center,969,101143,72840,9254,40546
06/06/2007,Mall B,North,1195,74619,24961,13016,32169
06/06/2007,Mall C,South,1104,53290,40990,27859,45563
07/06/2007,Mall A,Center,634,57189,60296,44197,39489
07/06/2007,Mall B,North,1294,95251,63084,23761,60876
07/06/2007,Mall C,South,1806,47916,63304,9490,68408
08/06/2007,Mall A,Center,568,49110,60731,14007,38715
08/06/2007,Mall B,North,565,108321,31309,48229,61603
08/06/2007,Mall C,South,1621,90875,39994,25063,27431
09/06/2007,Mall A,Center,1950,50280,20676,34125,21577
09/06/2007,Mall B,North,909,58995,17130,40767,40862
09/06/2007,Mall C,South,1507,95931,32508,42117,64849
10/06/2007,Mall A,Center,802,60642,64466,38259,57039
10/06/2007,Mall B,North,1386,96143,56697,9225,55118
10/06/2007,Mall C,South,735,71280,70026,31162,29356
11/06/2007,Mall A,Center,710,78491,66774,23490,22298
11/06/2007,Mall B,North,953,61898,71440,17412,35465
11/06/2007,Mall C,South,1620,43666,49806,46046,58137
12/06/2007,Mall A,Center,1250,98673,13582,6149,20046
12/06/2007,Mall B,North,1591,36772,39059,18379,29490
12/06/2007,Mall C,South,1171,72037,23503,15354,24837
13/06/2007,Mall A,Center,1961,130375,64340,6716,55741
13/06/2007,Mall B,North,1497,78365,64905,16082,60207
13/06/2007,Mall C,South,995,135776,42881,29477,21242
14/06/2007,Mall A,Center,1665,42747,63038,47443,47205
14/06/2007,Mall B,North,734,133332,24373,30578,56573
14/06/2007,Mall C,South,1449,144720,50989,31029,52261
16/06/2007,Mall A,Center,1985,66234,57130,8585,32567
16/06/2007,Mall B,North,659,118701,71946,13124,63099
16/06/2007,Mall C,South,644,40881,34908,24770,63722
17/06/2007,Mall A,Center,1059,68633,44749,23103,36878
17/06/2007,Mall B,North,640,107801,75644,12984,53657
17/06/2007,Mall C,South,1954,126015,56130,49292,26148
20/06/2007,Mall A,Center,718,32359,29043,43219,24795
20/06/2007,Mall B,North,1223,115809,35872,46910,26345
20/06/2007,Mall C,South,562,49258,22352,40386,62069
21/06/2007,Mall A,Center,1024,141249,21605,9865,22194
21/06/2007,Mall B,North,1265,137178,58158,42183,49914
21/06/2007,Mall C,South,1169,78934,11240,14160,22517
22/06/2007,Mall A,Center,703,73572,24298,24157,54193
22/06/2007,Mall B,North,588,142260,30251,31451,16028
22/06/2007,Mall C,South,1160,58876,22602,6969,68949
23/06/2007,Mall A,Center,725,20591,41848,14975,51826
23/06/2007,Mall B,North,640,89762,78843,10783,65676
23/06/2007,Mall C,South,1303,129127,64700,23020,68530
24/06/2007,Mall A,Center,1749,41373,15907,9257,33387
24/06/2007,Mall B,North,1119,142477,20125,38644,60794
24/06/2007,Mall C,South,826,122157,64326,40141,60371
26/06/2007,Mall A,Center,1461,49088,73563,11027,29346
26/06/2007,Mall B,North,1479,92619,45195,49790,34972
26/06/2007,Mall C,South,1559,119794,28090,42476,44660
27/06/2007,Mall A,Center,963,104240,39502,38371,67702
27/06/2007,Mall B,North,1810,117744,65318,27334,11220
27/06/2007,Mall C,South,1048,115577,39983,34532,48221
30/06/2007,Mall A,Center,737,67392,48848,40358,44664
30/06/2007,Mall B,North,989,98456,11422,32358,67795
30/06/2007,Mall C,South,759,37584,10168,11093,15711
01/07/2007,Mall A,Center,1024,93684,64799,25126,41223
01/07/2007,Mall B,North,1221,22833,76291,30187,45723
01/07/2007,Mall C,South,1251,67942,68511,29507,50188
02/07/2007,Mall A,Center,1719,61433,70202,46619,16496
02/07/2007,Mall B,North,1415,87449,27176,36603,38157
02/07/2007,Mall C,South,1598,30184,57482,7254,57022
